GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US01071,"Jackson County, Alabama",52094,2793,3217,3106,3035,2718,3070,2939,3009,3458,3507,3622,4034,3614,3810,2138,1868,1159,997
0500000US01073,"Jefferson County, Alabama",659892,42537,42904,41175,41417,43127,49164,46029,43068,40471,40493,42860,45223,42278,34493,22826,16767,12341,12719
0500000US01075,"Lamar County, Alabama",13933,699,878,935,867,661,702,770,620,942,906,975,1065,975,913,667,670,346,342
0500000US01077,"Lauderdale County, Alabama",92585,4736,5563,4852,6149,7856,5710,5186,4952,5311,5730,6154,6240,6270,5346,4844,3085,2398,2203
0500000US01079,"Lawrence County, Alabama",33171,1855,2012,2184,1953,1772,2057,1912,2088,1917,2255,2590,2559,2230,2101,1488,1022,647,529
0500000US01081,"Lee County, Alabama",159287,9431,8850,10200,13411,22407,12368,10499,9580,9656,9442,9212,8453,8039,6739,4374,3117,1936,1573
0500000US01083,"Limestone County, Alabama",93052,5223,5431,6697,6304,5103,5713,6335,6269,6462,6754,7134,6605,5299,4309,4010,2312,1665,1427
0500000US01085,"Lowndes County, Alabama",10236,634,637,662,579,668,669,588,486,606,653,737,822,667,618,428,396,195,191
0500000US01087,"Macon County, Alabama",19054,936,901,958,1858,2266,1125,934,1037,707,990,1182,1295,1323,1253,902,598,396,393
0500000US01089,"Madison County, Alabama",357560,20902,21679,22488,24006,24700,25452,24051,21666,21688,23828,27873,26834,21085,16558,13019,8909,7254,5568
0500000US01091,"Marengo County, Alabama",19538,969,1232,1474,1447,893,1305,938,1013,1293,1211,1327,1278,1468,1105,942,709,578,356
0500000US01093,"Marion County, Alabama",29965,1539,1588,1982,1897,1605,1738,1563,1555,1913,2033,2223,2036,2074,1863,1657,1419,596,684
0500000US01095,"Marshall County, Alabama",95145,6536,6165,6974,6167,5659,6032,5626,5646,5948,6158,6326,5987,5980,5312,4090,3135,1881,1523
