GEO_ID,NAME,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
Geography,Geographic Area Name,Estimate!!Total!!Total population,Estimate!!Total!!Total population!!AGE!!Under 5 years,Estimate!!Total!!Total population!!AGE!!5 to 9 years,Estimate!!Total!!Total population!!AGE!!10 to 14 years,Estimate!!Total!!Total population!!AGE!!15 to 19 years,Estimate!!Total!!Total population!!AGE!!20 to 24 years,Estimate!!Total!!Total population!!AGE!!25 to 29 years,Estimate!!Total!!Total population!!AGE!!30 to 34 years,Estimate!!Total!!Total population!!AGE!!35 to 39 years,Estimate!!Total!!Total population!!AGE!!40 to 44 years,Estimate!!Total!!Total population!!AGE!!45 to 49 years,Estimate!!Total!!Total population!!AGE!!50 to 54 years,Estimate!!Total!!Total population!!AGE!!55 to 59 years,Estimate!!Total!!Total population!!AGE!!60 to 64 years,Estimate!!Total!!Total population!!AGE!!65 to 69 years,Estimate!!Total!!Total population!!AGE!!70 to 74 years,Estimate!!Total!!Total population!!AGE!!75 to 79 years,Estimate!!Total!!Total population!!AGE!!80 to 84 years,Estimate!!Total!!Total population!!AGE!!85 years and over
0500000US01001,"Autauga County, Alabama",55380,3217,3814,3600,3812,3570,3602,3454,3915,3391,3889,3847,4247,2739,2377,2441,1680,901,884
0500000US01003,"Baldwin County, Alabama",212830,11689,12058,14262,12831,10878,12174,11768,13233,12601,14036,14376,15081,15312,13434,12305,8141,4603,4048
0500000US01005,"Barbour County, Alabama",25361,1349,1622,1422,1412,1592,1827,1815,1504,1534,1634,1676,1628,1636,1453,1391,855,606,405
0500000US01007,"Bibb County, Alabama",22493,1315,1219,1132,1400,1259,1588,1688,1449,1461,1801,1718,1415,1464,1189,909,633,411,442
0500000US01009,"Blount County, Alabama",57681,3432,3590,4034,3622,3212,3503,3336,3166,4097,3954,3745,3855,3809,3299,2812,1694,1466,1055
0500000US01011,"Bullock County, Alabama",10248,542,638,554,814,599,679,592,666,718,746,615,675,770,543,477,273,176,171
0500000US01013,"Butler County, Alabama",19828,1149,1292,1203,1272,1093,1170,1169,1326,1203,1045,1182,1416,1408,1160,1128,690,397,525
0500000US01015,"Calhoun County, Alabama",114618,6608,6619,7149,7747,7387,8066,7063,7254,6440,7039,7555,8016,7937,6670,5057,3666,2285,2060
0500000US01017,"Chambers County, Alabama",33660,2043,1795,2026,1816,2191,2228,1900,2072,1764,2244,2307,2630,2174,2202,1756,1219,640,653
0500000US01019,"Cherokee County, Alabama",25903,1187,1454,1489,1598,1301,1400,1095,1476,1395,1691,1997,2019,1990,1918,1593,1195,592,513
0500000US01021,"Chilton County, Alabama",44055,2759,3225,2657,2894,2474,3016,2766,2804,3070,2822,2760,2948,2808,2230,1922,1437,851,612
0500000US01023,"Choctaw County, Alabama",12925,679,628,799,844,646,661,615,673,746,796,943,1017,956,807,853,721,239,302
0500000US01025,"Clarke County, Alabama",24128,1377,1320,1573,1584,1504,1420,1191,1456,1393,1526,1694,1826,1585,1595,988,967,557,572
0500000US01027,"Clay County, Alabama",13337,680,677,970,856,695,765,738,793,751,809,937,1115,853,756,783,575,298,286
0500000US01029,"Cleburne County, Alabama",14916,849,1116,834,876,760,911,846,757,972,1137,995,991,973,1076,620,550,202,451
0500000US01031,"Coffee County, Alabama",51662,3207,3306,3634,3226,2996,3359,3250,3468,3211,3452,3448,3613,2942,2684,2292,1694,989,891
0500000US01033,"Colbert County, Alabama",54771,3139,3294,3085,3108,3186,3595,2993,3339,3263,3584,3755,3782,4004,3046,3009,2098,1291,1200
0500000US01035,"Conecuh County, Alabama",12394,700,796,648,865,552,727,613,744,572,717,820,799,1095,763,945,525,199,314
0500000US01037,"Coosa County, Alabama",10757,364,440,665,573,456,646,443,486,803,724,826,1145,756,913,460,487,327,243
0500000US01039,"Covington County, Alabama",37200,2165,2426,2141,2143,2001,2256,2107,2170,1883,2278,2476,2618,2810,2322,1947,1489,1139,829
0500000US01041,"Crenshaw County, Alabama",13844,788,852,915,831,768,887,783,839,738,826,972,994,1042,750,841,442,307,269
0500000US01043,"Cullman County, Alabama",82853,5115,4657,5673,4985,4697,5459,4869,4838,5303,5326,5634,5673,5508,4477,4484,2655,2294,1206
0500000US01045,"Dale County, Alabama",49277,3231,3313,2944,2985,3295,3692,3454,3206,2626,3022,2981,3581,2866,2639,2069,1564,1014,795
0500000US01047,"Dallas County, Alabama",39149,2393,2898,2422,2850,2386,2371,2200,2395,1988,2191,2521,3006,2719,2613,1465,1172,941,618
0500000US01049,"DeKalb County, Alabama",71310,4260,4732,5334,4851,4143,4425,4059,4330,4586,4673,4688,4909,4437,4154,3017,2355,1348,1009
