GEO_ID,NAME,YEAR,S0101_C01_001E,S0101_C01_002E,S0101_C01_003E,S0101_C01_004E,S0101_C01_005E,S0101_C01_006E,S0101_C01_007E,S0101_C01_008E,S0101_C01_009E,S0101_C01_010E,S0101_C01_011E,S0101_C01_012E,S0101_C01_013E,S0101_C01_014E,S0101_C01_015E,S0101_C01_016E,S0101_C01_017E,S0101_C01_018E,S0101_C01_019E
0500000US01081,"Lee County, Alabama",2020,163461,9501,9072,10269,13893,21411,12518,10695,9672,9983,9841,9354,9016,8526,7158,5202,3006,2015,2329
0500000US01083,"Limestone County, Alabama",2020,96921,5396,5647,6623,6114,5167,6513,6662,6359,6438,6886,7384,6703,6196,4825,4165,1978,2403,1462
0500000US01085,"Lowndes County, Alabama",2020,9936,607,626,580,548,683,659,556,424,592,584,698,790,707,657,401,327,278,219
0500000US01087,"Macon County, Alabama",2020,18437,880,779,981,1837,2028,1159,929,796,800,962,1106,1344,1164,1392,810,583,507,380
0500000US01089,"Madison County, Alabama",2020,367686,21560,21916,22866,23887,24911,26506,25219,23252,21592,23374,26115,28194,23137,17034,14948,9556,7643,5976
0500000US01091,"Marengo County, Alabama",2020,19138,1241,1326,1141,1151,1254,1036,1006,1167,916,1146,1236,1300,1439,1087,1043,621,542,486
0500000US01093,"Marion County, Alabama",2020,29818,1527,1502,1991,1878,1623,1748,1530,1779,1513,2068,2197,2515,1622,1977,1462,1224,925,737
0500000US01095,"Marshall County, Alabama",2020,96137,6725,5993,7166,6409,5522,6158,5648,5285,6024,6046,6287,6560,5817,5268,4453,3230,1993,1553
0500000US01097,"Mobile County, Alabama",2020,413977,27182,25660,27878,26549,26913,30427,27673,24130,25173,24576,25836,27273,27536,22523,17946,11558,8215,6929
0500000US01099,"Monroe County, Alabama",2020,21006,1070,1194,1380,1554,1117,1204,954,1272,1186,1294,1419,1432,1719,1338,1091,913,377,492
0500000US01101,"Montgomery County, Alabama",2020,226451,15347,15097,14121,14862,16275,17072,15590,13385,14946,13602,13702,15104,13303,12199,7962,6138,3387,4359
0500000US01103,"Morgan County, Alabama",2020,119352,7251,7709,7556,7396,6756,7717,7041,7367,7211,7896,8228,8011,8373,6929,5215,3481,2600,2615
0500000US01105,"Perry County, Alabama",2020,9104,502,311,825,1133,610,442,200,759,295,596,464,745,445,496,641,248,284,108
0500000US01107,"Pickens County, Alabama",2020,20049,1038,1121,1066,1207,1231,1299,1142,1294,1279,1317,1421,1421,1422,1314,848,620,457,552
0500000US01109,"Pike County, Alabama",2020,33274,1785,1814,1684,3286,5395,2422,1516,1777,1412,1705,1741,1659,1963,1526,1405,819,607,758
0500000US01111,"Randolph County, Alabama",2020,22732,1314,1264,1380,1507,1274,1273,1189,1366,1149,1473,1501,1425,1925,1367,1357,986,476,506
0500000US01113,"Russell County, Alabama",2020,57938,4056,3769,4020,3212,3601,4666,4015,3843,3546,3620,3870,3716,3723,2648,2394,1315,1264,660
0500000US01115,"St. Clair County, Alabama",2020,88929,5220,5458,6119,4994,4810,5691,5884,5654,6032,6180,5991,6415,5580,4783,4316,2661,1891,1250
0500000US01117,"Shelby County, Alabama",2020,216350,12401,13458,15509,14692,12499,12834,13544,14765,15118,15555,14748,14286,13712,12247,8360,5487,4126,3009
0500000US01119,"Sumter County, Alabama",2020,12595,720,649,634,1162,1773,649,484,786,398,715,585,877,867,777,505,373,426,215
0500000US01121,"Talladega County, Alabama",2020,80244,4289,4806,4784,5024,5220,5270,4720,4707,5097,5419,5347,5025,6231,5112,3535,2187,2215,1256
0500000US01123,"Tallapoosa County, Alabama",2020,40450,2196,2802,1947,2525,2183,2338,2125,2023,2103,2490,2821,3121,3126,2645,2577,1498,1113,817
0500000US01125,"Tuscaloosa County, Alabama",2020,208854,12507,12416,11694,19321,21976,17314,13827,13730,11057,12019,11420,11788,12070,9920,7046,4558,3277,2914
0500000US01127,"Walker County, Alabama",2020,63802,3898,3915,3817,3892,3650,3958,3685,3979,3280,3975,4428,4709,4246,3668,3679,2335,1321,1367
0500000US01129,"Washington County, Alabama",2020,16336,818,758,1095,1372,1145,882,735,706,841,1062,1391,1146,1158,931,1094,520,540,142
0500000US01131,"Wilcox County, Alabama",2020,10552,679,408,958,779,668,636,545,506,669,572,650,604,819,691,521,308,304,235
0500000US01133,"Winston County, Alabama",2020,23712,1239,1261,1467,1328,1228,1263,1230,1470,1104,1547,1663,2204,1529,1695,1318,1051,705,410
0500000US02013,"Aleutians East Borough, Alaska",2020,3389,113,91,148,138,253,238,233,324,214,318,392,316,230,184,82,32,35,48
0500000US02016,"Aleutians West Census Area, Alaska",2020,5708,222,361,219,385,313,478,427,488,457,528,618,478,304,269,82,39,25,15
0500000US02020,"Anchorage Municipality, Alaska",2020,292090,20833,20358,18526,17759,22269,26291,24631,20888,17458,17574,17935,18232,16959,12679,8690,4641,3571,2796
0500000US02050,"Bethel Census Area, Alaska",2020,18263,1923,1937,1659,1562,1341,1517,1250,1083,886,896,961,967,932,579,344,213,132,81
0500000US02060,"Bristol Bay Borough, Alaska",2020,739,50,32,32,33,31,41,36,72,46,32,80,98,70,36,16,15,10,9
0500000US02063,"Chugach Census Area, Alaska",2020,6495,388,275,473,350,323,678,489,302,421,339,482,296,807,468,251,90,38,25
0500000US02066,"Copper River Census Area, Alaska",2020,2894,196,325,210,141,142,70,191,192,233,192,163,281,202,127,103,81,21,24
0500000US02068,"Denali Borough, Alaska",2020,2502,36,35,120,152,293,129,180,214,132,189,193,215,352,141,23,50,35,13
0500000US02070,"Dillingham Census Area, Alaska",2020,4934,480,440,403,353,356,407,354,425,168,202,248,277,264,200,191,89,32,45
0500000US02090,"Fairbanks North Star Borough, Alaska",2020,98455,7576,7065,5816,6024,10250,9913,8141,6852,5236,5355,5294,5630,5035,4356,2868,1652,839,553
0500000US02100,"Haines Borough, Alaska",2020,2547,161,312,287,107,17,101,117,128,173,124,209,105,121,317,156,32,57,23
0500000US02105,"Hoonah-Angoon Census Area, Alaska",2020,2135,65,85,101,55,85,98,120,129,104,147,196,261,206,218,128,82,44,11
0500000US02110,"Juneau City and Borough, Alaska",2020,32099,1822,2001,1858,1860,1951,2489,2446,2436,1965,2219,2100,2472,2104,1699,1265,684,354,374
0500000US02122,"Kenai Peninsula Borough, Alaska",2020,58809,3531,3726,3745,3564,3077,3612,3823,3727,3292,3519,3703,4648,4615,4067,2847,1477,853,983
0500000US02130,"Ketchikan Gateway Borough, Alaska",2020,13833,738,890,823,804,888,952,934,892,865,866,907,1112,1036,795,623,296,246,166
0500000US02150,"Kodiak Island Borough, Alaska",2020,13383,947,1044,919,811,760,1251,1010,1169,838,680,728,946,870,621,336,196,107,150
0500000US02158,"Kusilvak Census Area, Alaska",2020,8298,1070,904,923,733,622,698,605,444,298,324,436,448,310,220,116,69,58,20
0500000US02164,"Lake and Peninsula Borough, Alaska",2020,1156,84,78,89,80,107,101,69,82,82,39,67,74,82,53,26,22,11,10
0500000US02170,"Matanuska-Susitna Borough, Alaska",2020,107360,7511,8101,8285,7301,6312,7456,7837,7875,6429,6622,6641,7622,6507,5516,3265,1915,1121,1044
0500000US02180,"Nome Census Area, Alaska",2020,10009,978,970,1007,795,734,813,724,554,604,511,516,642,385,295,250,107,100,24
0500000US02185,"North Slope Borough, Alaska",2020,9375,676,709,679,599,525,857,802,671,515,648,619,880,522,301,212,101,26,33
0500000US02188,"Northwest Arctic Borough, Alaska",2020,7709,778,799,774,612,495,676,558,437,352,447,436,394,358,234,148,114,59,38
0500000US02195,"Petersburg Borough, Alaska",2020,3278,169,177,131,143,175,140,230,162,131,265,112,324,234,296,259,234,53,43
0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",2020,6338,361,397,467,360,295,381,377,346,344,368,488,584,470,490,302,142,104,62
0500000US02220,"Sitka City and Borough, Alaska",2020,8569,411,519,549,521,448,653,567,752,494,493,564,570,640,544,321,168,203,152
0500000US02230,"Skagway Municipality, Alaska",2020,1300,67,46,34,64,38,122,136,101,108,109,127,86,94,106,25,21,10,6
0500000US02240,"Southeast Fairbanks Census Area, Alaska",2020,6911,495,524,556,436,288,500,489,438,373,406,482,486,458,404,267,150,120,39
0500000US02275,"Wrangell City and Borough, Alaska",2020,2510,138,119,163,158,55,198,129,107,109,167,152,252,185,178,124,98,144,34
0500000US02282,"Yakutat City and Borough, Alaska",2020,597,68,31,29,15,26,74,45,65,15,23,58,26,38,23,38,16,4,3
0500000US02290,"Yukon-Koyukuk Census Area, Alaska",2020,5305,415,474,370,342,306,394,328,292,305,234,308,402,342,355,215,106,60,57
0500000US04001,"Apache County, Arizona",2020,71714,4723,5174,5919,5776,4515,4844,4522,4000,3719,3886,4292,4490,4763,3988,2695,2076,1288,1044
0500000US04003,"Cochise County, Arizona",2020,126442,7314,7944,7407,7852,7554,8100,7602,7765,6450,6443,6991,7229,9690,8445,7547,5017,4044,3048
0500000US04005,"Coconino County, Arizona",2020,142254,7631,7254,9112,16981,16962,11048,8714,8238,7325,7214,7374,8420,8026,6777,4806,3287,1749,1336
0500000US04007,"Gila County, Arizona",2020,53846,2876,3104,2944,2530,2652,2761,2588,2410,2247,2548,3101,3893,4621,4732,4305,2515,2140,1879
0500000US04009,"Graham County, Arizona",2020,38304,2763,2520,3245,2987,2720,3056,2709,2472,2568,2184,1876,1805,2091,1640,1404,1008,561,695
0500000US04011,"Greenlee County, Arizona",2020,9465,734,683,772,734,821,425,432,950,709,464,447,665,420,274,381,229,256,69
0500000US04012,"La Paz County, Arizona",2020,21035,940,980,912,845,758,1129,794,783,965,912,997,1038,1614,1955,2044,2173,1404,792
0500000US04013,"Maricopa County, Arizona",2020,4412779,277315,285526,308049,296440,293079,334251,311442,292285,282511,282264,270075,265441,243005,213895,175224,122535,79702,79740
0500000US04015,"Mohave County, Arizona",2020,210998,9220,9174,11255,9944,9178,11050,10448,9666,9610,10620,12439,16244,18004,20933,15699,13433,8227,5854
0500000US04017,"Navajo County, Arizona",2020,110271,7420,7831,8923,7766,6413,7003,6385,6065,5883,5980,6162,7312,7184,6489,5663,3588,2518,1686
