state,year,week,total_patients,ili_patients,providers
Puerto Rico,2018,42,2312,165,5
Virgin Islands,2018,42,1051,21,4
New York City,2018,42,99123,2200,72
Alabama,2018,43,38190,857,80
Alaska,2018,43,3782,38,16
Arizona,2018,43,15910,257,47
Arkansas,2018,43,5703,85,18
California,2018,43,46253,752,101
Colorado,2018,43,41102,944,70
Connecticut,2018,43,5010,81,18
Delaware,2018,43,2572,4,10
District of Columbia,2018,43,15293,280,5
Florida,2018,43,,,
Georgia,2018,43,79133,2338,99
Hawaii,2018,43,2156,38,18
Idaho,2018,43,1863,7,9
Illinois,2018,43,49913,579,101
Indiana,2018,43,6146,65,24
Iowa,2018,43,7296,45,20
Kansas,2018,43,14687,176,36
Kentucky,2018,43,14367,227,44
Louisiana,2018,43,50043,1590,95
Maine,2018,43,13553,168,50
Maryland,2018,43,6920,69,22
Massachusetts,2018,43,48101,550,58
Michigan,2018,43,28257,339,88
Minnesota,2018,43,7536,116,23
Mississippi,2018,43,16143,405,47
Missouri,2018,43,4437,43,16
Montana,2018,43,8960,52,35
Nebraska,2018,43,8579,177,47
Nevada,2018,43,16165,94,34
New Hampshire,2018,43,3109,23,15
New Jersey,2018,43,32857,982,44
New Meico,2018,43,21418,233,50
New York,2018,43,61424,700,133
North Carolina,2018,43,104003,1425,160
North Dakota,2018,43,3636,29,13
Ohio,2018,43,18570,166,49
Oklahoma,2018,43,7227,179,22
Oregon,2018,43,34793,306,72
Pennsylvania,2018,43,57069,652,137
Rhode Island,2018,43,6799,31,23
South Carolina,2018,43,15296,298,26
South Dakota,2018,43,16525,141,32
Tennessee,2018,43,7862,83,51
Teas,2018,43,28826,761,107
Utah,2018,43,19911,338,51
Vermont,2018,43,4984,71,15
Virginia,2018,43,86607,1632,137
Washington,2018,43,6723,30,29
West Virginia,2018,43,14727,151,47
Wisconsin,2018,43,21183,286,41
Wyoming,2018,43,4233,38,21
Puerto Rico,2018,43,1589,108,3
Virgin Islands,2018,43,953,17,4
New York City,2018,43,96495,2391,75
Alabama,2018,44,38235,914,80
Alaska,2018,44,3882,95,16
Arizona,2018,44,20159,407,47
Arkansas,2018,44,4961,109,16
California,2018,44,49603,875,113
Colorado,2018,44,41162,1073,70
Connecticut,2018,44,5524,102,17
Delaware,2018,44,2630,4,10
District of Columbia,2018,44,14888,336,5
Florida,2018,44,,,
Georgia,2018,44,79086,2626,97
Hawaii,2018,44,1761,31,17
Idaho,2018,44,1799,4,8
Illinois,2018,44,50265,656,102
Indiana,2018,44,5833,77,25
Iowa,2018,44,6186,36,20
Kansas,2018,44,14532,168,37
Kentucky,2018,44,12489,232,39
Louisiana,2018,44,49881,1645,95
Maine,2018,44,9556,81,49
Maryland,2018,44,8301,138,24
Massachusetts,2018,44,50500,565,57
Michigan,2018,44,26945,311,87
Minnesota,2018,44,7209,162,23
Mississippi,2018,44,16912,457,48
Missouri,2018,44,4095,59,17
Montana,2018,44,8754,62,35
Nebraska,2018,44,8193,182,46
Nevada,2018,44,15835,87,32
New Hampshire,2018,44,3279,24,16
New Jersey,2018,44,33347,992,44
New Meico,2018,44,19854,256,48
New York,2018,44,61524,781,134
North Carolina,2018,44,106314,1547,160
North Dakota,2018,44,3452,40,13
Ohio,2018,44,18929,193,47
Oklahoma,2018,44,8811,235,21
Oregon,2018,44,33738,313,72
Pennsylvania,2018,44,56211,676,136
Rhode Island,2018,44,6806,38,23
South Carolina,2018,44,15821,347,26
South Dakota,2018,44,16557,161,32
Tennessee,2018,44,7760,68,51
Teas,2018,44,28668,831,109
Utah,2018,44,19044,275,51
Vermont,2018,44,4971,58,14
Virginia,2018,44,88407,1819,136
Washington,2018,44,6414,27,28
West Virginia,2018,44,14412,148,43
Wisconsin,2018,44,20900,308,41
Wyoming,2018,44,4075,35,22
Puerto Rico,2018,44,1957,127,4
Virgin Islands,2018,44,996,19,4
New York City,2018,44,97759,2158,71
Alabama,2018,45,39229,1083,81
Alaska,2018,45,4895,101,17
Arizona,2018,45,20616,424,47
Arkansas,2018,45,5041,100,15
California,2018,45,50580,944,118
Colorado,2018,45,40874,1120,70
Connecticut,2018,45,5357,122,18
Delaware,2018,45,2452,13,10
District of Columbia,2018,45,14972,291,5
Florida,2018,45,,,
Georgia,2018,45,80794,2745,98
Hawaii,2018,45,1569,22,17
Idaho,2018,45,1905,10,9
Illinois,2018,45,50231,632,101
Indiana,2018,45,5879,79,25
Iowa,2018,45,6662,31,21
Kansas,2018,45,14038,192,36
Kentucky,2018,45,13943,229,44
Louisiana,2018,45,50787,1867,96
Maine,2018,45,11313,111,50
Maryland,2018,45,6562,98,25
Massachusetts,2018,45,49345,599,57
Michigan,2018,45,27957,382,88
Minnesota,2018,45,7507,132,21
Mississippi,2018,45,17537,499,48
Missouri,2018,45,4115,55,17
Montana,2018,45,8442,50,36
Nebraska,2018,45,7908,176,47
Nevada,2018,45,15897,89,33
New Hampshire,2018,45,3144,25,16
New Jersey,2018,45,31655,926,43
New Meico,2018,45,21219,278,49
New York,2018,45,64768,710,135
North Carolina,2018,45,94175,1427,160
North Dakota,2018,45,3427,27,13
Ohio,2018,45,18034,157,47
Oklahoma,2018,45,5909,153,22
Oregon,2018,45,34860,347,73
Pennsylvania,2018,45,55269,731,137
Rhode Island,2018,45,6511,41,23
