state,year,week,total_patients,ili_patients,providers
New York City,2019,33,90159,1056,64
Alabama,2019,34,37607,530,73
Alaska,2019,34,5334,64,17
Arizona,2019,34,13766,218,38
Arkansas,2019,34,2330,27,8
California,2019,34,39475,310,72
Colorado,2019,34,39934,550,70
Connecticut,2019,34,1248,7,4
Delaware,2019,34,1008,0,5
District of Columbia,2019,34,13037,130,5
Florida,2019,34,,,
Georgia,2019,34,78067,1454,90
Hawaii,2019,34,1621,21,15
Idaho,2019,34,70,0,1
Illinois,2019,34,32899,150,73
Indiana,2019,34,2899,8,16
Iowa,2019,34,4460,8,13
Kansas,2019,34,11422,53,19
Kentucky,2019,34,6604,36,16
Louisiana,2019,34,48222,1150,88
Maine,2019,34,15080,97,46
Maryland,2019,34,4087,5,12
Massachusetts,2019,34,43456,258,43
Michigan,2019,34,19097,69,71
Minnesota,2019,34,5296,67,18
Mississippi,2019,34,16835,266,47
Missouri,2019,34,2719,5,14
Montana,2019,34,5895,26,25
Nebraska,2019,34,8274,113,41
Nevada,2019,34,9079,26,24
New Hampshire,2019,34,1464,5,13
New Jersey,2019,34,31732,497,43
New Meico,2019,34,21958,173,43
New York,2019,34,56453,278,124
North Carolina,2019,34,94866,378,135
North Dakota,2019,34,3501,25,11
Ohio,2019,34,10798,51,31
Oklahoma,2019,34,6318,29,14
Oregon,2019,34,33836,138,70
Pennsylvania,2019,34,46867,230,119
Rhode Island,2019,34,3980,5,23
South Carolina,2019,34,12682,85,23
South Dakota,2019,34,11095,52,29
Tennessee,2019,34,7053,37,48
Teas,2019,34,23482,298,92
Utah,2019,34,19017,208,50
Vermont,2019,34,3004,15,8
Virginia,2019,34,87808,821,139
Washington,2019,34,4538,17,19
West Virginia,2019,34,3141,5,12
Wisconsin,2019,34,17028,76,35
Wyoming,2019,34,2714,2,13
Puerto Rico,2019,34,2309,118,8
Virgin Islands,2019,34,559,2,2
New York City,2019,34,81043,803,26
Alabama,2019,35,38200,609,73
Alaska,2019,35,5382,127,17
Arizona,2019,35,15770,273,44
Arkansas,2019,35,2284,26,6
California,2019,35,40925,413,70
Colorado,2019,35,40085,793,70
Connecticut,2019,35,1982,9,4
Delaware,2019,35,1166,0,5
District of Columbia,2019,35,13598,153,5
Florida,2019,35,,,
Georgia,2019,35,77391,1475,93
Hawaii,2019,35,1325,25,15
Idaho,2019,35,66,0,1
Illinois,2019,35,37652,192,71
Indiana,2019,35,3279,17,16
Iowa,2019,35,5448,17,14
Kansas,2019,35,11472,89,18
Kentucky,2019,35,6496,49,15
Louisiana,2019,35,46804,1466,75
Maine,2019,35,14474,47,46
Maryland,2019,35,4267,7,12
Massachusetts,2019,35,44287,312,42
Michigan,2019,35,17900,88,73
Minnesota,2019,35,6411,62,18
Mississippi,2019,35,17148,309,45
Missouri,2019,35,2822,6,14
Montana,2019,35,5745,23,24
Nebraska,2019,35,7959,116,42
Nevada,2019,35,9010,39,24
New Hampshire,2019,35,1796,2,12
New Jersey,2019,35,31174,453,43
New Meico,2019,35,18167,165,40
New York,2019,35,55187,282,124
North Carolina,2019,35,95116,487,134
North Dakota,2019,35,3373,17,10
Ohio,2019,35,10436,68,30
Oklahoma,2019,35,6045,39,14
Oregon,2019,35,33828,156,70
Pennsylvania,2019,35,48673,238,121
Rhode Island,2019,35,4223,4,22
South Carolina,2019,35,11179,79,23
South Dakota,2019,35,17148,85,31
Tennessee,2019,35,7049,47,46
Teas,2019,35,24437,450,94
Utah,2019,35,19437,254,50
Vermont,2019,35,3245,14,9
Virginia,2019,35,92507,905,147
Washington,2019,35,4513,4,19
West Virginia,2019,35,4459,7,12
Wisconsin,2019,35,18042,113,36
Wyoming,2019,35,2660,4,13
Puerto Rico,2019,35,2800,121,8
Virgin Islands,2019,35,524,0,2
New York City,2019,35,83835,938,55
Alabama,2019,36,38097,690,70
Alaska,2019,36,5550,146,17
Arizona,2019,36,14764,294,45
Arkansas,2019,36,2445,28,8
California,2019,36,37765,385,73
Colorado,2019,36,36052,773,70
Connecticut,2019,36,2442,35,4
Delaware,2019,36,922,0,5
District of Columbia,2019,36,11844,122,5
Florida,2019,36,,,
Georgia,2019,36,77620,1624,89
Hawaii,2019,36,1205,32,15
Idaho,2019,36,60,0,1
Illinois,2019,36,31236,243,70
Indiana,2019,36,2354,16,15
Iowa,2019,36,4594,17,14
Kansas,2019,36,11524,105,19
Kentucky,2019,36,6403,60,16
Louisiana,2019,36,49460,1621,77
Maine,2019,36,13859,64,46
Maryland,2019,36,3067,2,11
Massachusetts,2019,36,41654,326,45
Michigan,2019,36,21773,186,77
Minnesota,2019,36,5390,57,18
Mississippi,2019,36,17941,339,47
Missouri,2019,36,2472,12,14
Montana,2019,36,5893,25,24
Nebraska,2019,36,6816,74,42
Nevada,2019,36,8938,52,25
New Hampshire,2019,36,1448,3,12
New Jersey,2019,36,31562,443,42
New Meico,2019,36,21299,213,41
New York,2019,36,55985,302,125
North Carolina,2019,36,97638,637,139
North Dakota,2019,36,3474,30,10
Ohio,2019,36,9965,78,31
Oklahoma,2019,36,5979,37,14
Oregon,2019,36,33728,154,70
Pennsylvania,2019,36,60415,417,115
Rhode Island,2019,36,4254,8,22
South Carolina,2019,36,10040,105,23
South Dakota,2019,36,15260,105,31
Tennessee,2019,36,6021,66,46
Teas,2019,36,23076,451,93
Utah,2019,36,18763,314,50
Vermont,2019,36,3219,20,9
Virginia,2019,36,92089,989,145
Washington,2019,36,4611,8,19
West Virginia,2019,36,3932,15,14
Wisconsin,2019,36,18166,133,37
Wyoming,2019,36,2263,2,12
Puerto Rico,2019,36,2838,133,8
Virgin Islands,2019,36,588,6,2
New York City,2019,36,89061,1000,64
Alabama,2019,37,38206,688,73
Alaska,2019,37,5496,145,17
Arizona,2019,37,16091,253,45
Arkansas,2019,37,2971,32,8
California,2019,37,42910,480,78
Colorado,2019,37,39702,917,70
Connecticut,2019,37,2674,67,4
Delaware,2019,37,1375,0,5
District of Columbia,2019,37,14811,227,5
Florida,2019,37,,,
Georgia,2019,37,80369,1556,94
Hawaii,2019,37,1588,32,15
Idaho,2019,37,60,0,1
Illinois,2019,37,34781,360,71
Indiana,2019,37,3266,17,15
Iowa,2019,37,5906,7,15
Kansas,2019,37,11926,105,19
Kentucky,2019,37,6999,59,17
Louisiana,2019,37,53154,1602,95
Maine,2019,37,14091,83,46
Maryland,2019,37,4615,11,13
Massachusetts,2019,37,46543,380,45
Michigan,2019,37,23747,230,76
Minnesota,2019,37,7650,116,19
Mississippi,2019,37,16037,308,45
Missouri,2019,37,3308,25,14
Montana,2019,37,6051,42,24
Nebraska,2019,37,8765,123,43
Nevada,2019,37,8978,34,24
New Hampshire,2019,37,1622,1,11
New Jersey,2019,37,33778,589,43
New Meico,2019,37,21672,180,40
New York,2019,37,57853,415,124
North Carolina,2019,37,103421,697,140
North Dakota,2019,37,3406,31,10
Ohio,2019,37,11637,101,30
Oklahoma,2019,37,6464,50,14
Oregon,2019,37,33949,171,70
Pennsylvania,2019,37,53638,414,119
Rhode Island,2019,37,5277,5,22
South Carolina,2019,37,9418,127,23
South Dakota,2019,37,17105,94,31
Tennessee,2019,37,7186,49,44
Teas,2019,37,25337,544,93
Utah,2019,37,19893,305,50
Vermont,2019,37,3251,17,9
Virginia,2019,37,98795,1264,149
Washington,2019,37,4728,13,15
West Virginia,2019,37,4349,21,13
Wisconsin,2019,37,21967,239,37
Wyoming,2019,37,2556,5,12
Puerto Rico,2019,37,1879,112,5
Virgin Islands,2019,37,640,1,2
New York City,2019,37,95246,1310,64
Alabama,2019,38,36991,616,70
Alaska,2019,38,5328,117,17
Arizona,2019,38,16001,300,46
Arkansas,2019,38,3125,33,8
California,2019,38,42066,480,78
Colorado,2019,38,39779,918,70
Connecticut,2019,38,2668,46,4
Delaware,2019,38,1220,0,5
District of Columbia,2019,38,14458,199,5
Florida,2019,38,,,
Georgia,2019,38,79373,1559,93
Hawaii,2019,38,1436,40,14
Idaho,2019,38,502,0,2
Illinois,2019,38,41104,331,74
Indiana,2019,38,3385,28,16
Iowa,2019,38,5683,21,15
Kansas,2019,38,11871,93,19
Kentucky,2019,38,7323,92,18
Louisiana,2019,38,53142,1703,96
Maine,2019,38,14684,104,46
Maryland,2019,38,4803,16,12
Massachusetts,2019,38,47609,433,46
Michigan,2019,38,23214,208,76
Minnesota,2019,38,6513,169,20
Mississippi,2019,38,17619,319,47
Missouri,2019,38,2680,14,14
Montana,2019,38,5834,47,24
Nebraska,2019,38,8895,114,43
Nevada,2019,38,8953,35,24
New Hampshire,2019,38,1729,0,11
New Jersey,2019,38,34291,684,44
New Meico,2019,38,21276,175,39
New York,2019,38,58824,502,125
North Carolina,2019,38,100533,868,139
North Dakota,2019,38,3468,25,9
Ohio,2019,38,10769,86,26
Oklahoma,2019,38,4970,59,12
Oregon,2019,38,35471,251,72
Pennsylvania,2019,38,51409,422,116
Rhode Island,2019,38,5973,14,22
South Carolina,2019,38,9187,171,23
South Dakota,2019,38,7711,49,23
Tennessee,2019,38,6848,50,45
Teas,2019,38,20954,386,78
Utah,2019,38,19968,300,50
Vermont,2019,38,3394,27,9
Virginia,2019,38,102135,1573,155
Washington,2019,38,1399,0,15
West Virginia,2019,38,3307,10,11
Wisconsin,2019,38,22907,276,36
Wyoming,2019,38,2403,4,10
Puerto Rico,2019,38,2971,115,9
Virgin Islands,2019,38,688,2,2
New York City,2019,38,93987,1743,65
Alabama,2019,39,36441,699,70
Alaska,2019,39,1602,16,6
Arizona,2019,39,12333,207,21
Arkansas,2019,39,3206,25,9
California,2019,39,42728,485,78
Colorado,2019,39,39501,879,70
Connecticut,2019,39,2854,51,5
Delaware,2019,39,1237,2,5
District of Columbia,2019,39,14779,271,5
Florida,2019,39,,,
Georgia,2019,39,76522,1771,88
Hawaii,2019,39,1339,42,13
Idaho,2019,39,558,3,2
Illinois,2019,39,31589,334,68
Indiana,2019,39,3386,24,15
Iowa,2019,39,6168,19,15
Kansas,2019,39,12244,108,21
Kentucky,2019,39,6920,104,16
Louisiana,2019,39,56698,2029,101
Maine,2019,39,15157,130,46
Maryland,2019,39,3421,10,10
Massachusetts,2019,39,48604,483,46
Michigan,2019,39,23019,194,73
Minnesota,2019,39,7378,167,20
Mississippi,2019,39,18581,344,46
Missouri,2019,39,2559,34,12
Montana,2019,39,5981,43,24
Nebraska,2019,39,7702,122,40
Nevada,2019,39,9490,82,25
New Hampshire,2019,39,1682,3,11
New Jersey,2019,39,34599,754,43
New Meico,2019,39,21565,191,43
New York,2019,39,58916,561,124
North Carolina,2019,39,101487,980,138
North Dakota,2019,39,3490,47,10
Ohio,2019,39,12517,92,30
Oklahoma,2019,39,6128,75,14
Oregon,2019,39,35614,280,71
Pennsylvania,2019,39,51457,493,116
Rhode Island,2019,39,6209,17,23
South Carolina,2019,39,8595,133,23
South Dakota,2019,39,16728,120,31
Tennessee,2019,39,7731,75,47
Teas,2019,39,25137,521,92
Utah,2019,39,20971,296,50
Vermont,2019,39,3357,30,9
Virginia,2019,39,105537,1741,156
Washington,2019,39,4286,21,7
West Virginia,2019,39,5673,21,17
Wisconsin,2019,39,19894,291,32
Wyoming,2019,39,2289,9,10
Puerto Rico,2019,39,2803,119,8
Virgin Islands,2019,39,1252,14,5
New York City,2019,39,97479,1717,67
Alabama,2019,40,47411,937,100
Alaska,2019,40,5071,53,18
Arizona,2019,40,12099,129,27
Arkansas,2019,40,5196,62,15
California,2019,40,56592,770,119
Colorado,2019,40,35001,870,69
Connecticut,2019,40,40967,512,76
Delaware,2019,40,1260,0,6
District of Columbia,2019,40,11885,67,4
Florida,2019,40,,,
Georgia,2019,40,82778,1954,94
Hawaii,2019,40,3780,76,21
Idaho,2019,40,1950,12,7
Illinois,2019,40,81556,1153,180
Indiana,2019,40,4950,47,25
Iowa,2019,40,6850,60,19
Kansas,2019,40,14099,126,30
Kentucky,2019,40,11923,149,33
Louisiana,2019,40,55352,2346,99
Maine,2019,40,15556,128,54
Maryland,2019,40,52734,667,74
Massachusetts,2019,40,59398,555,72
Michigan,2019,40,22693,181,73
Minnesota,2019,40,7468,181,21
Mississippi,2019,40,18825,365,45
Missouri,2019,40,3576,16,16
Montana,2019,40,8138,82,38
Nebraska,2019,40,11478,186,65
Nevada,2019,40,10600,92,28
New Hampshire,2019,40,2240,9,13
New Jersey,2019,40,33228,667,41
New Meico,2019,40,22961,211,52
New York,2019,40,58519,517,130
North Carolina,2019,40,111026,1202,157
North Dakota,2019,40,3695,34,13
Ohio,2019,40,19144,118,46
Oklahoma,2019,40,9653,131,28
Oregon,2019,40,42750,467,95
Pennsylvania,2019,40,52819,487,125
Rhode Island,2019,40,6392,9,23
South Carolina,2019,40,11925,243,21
South Dakota,2019,40,16541,110,30
Tennessee,2019,40,43650,695,86
Teas,2019,40,29908,640,115
Utah,2019,40,20887,311,52
Vermont,2019,40,5536,48,16
Virginia,2019,40,99333,1691,151
Washington,2019,40,21274,206,45
West Virginia,2019,40,16739,143,55
Wisconsin,2019,40,25825,232,45
Wyoming,2019,40,4800,57,20
Commonwealth of the Northern Mariana Islands,2019,40,,,
Puerto Rico,2019,40,3019,254,6
Virgin Islands,2019,40,844,12,4
New York City,2019,40,98503,1543,78
Alabama,2019,41,45565,862,96
Alaska,2019,41,5274,123,18
Arizona,2019,41,12094,144,28
Arkansas,2019,41,5274,101,14
California,2019,41,54765,830,115
Colorado,2019,41,38016,957,70
Connecticut,2019,41,42165,662,80
Delaware,2019,41,1356,1,6
District of Columbia,2019,41,14616,215,5
Florida,2019,41,,,
Georgia,2019,41,77576,1899,91
Hawaii,2019,41,3785,76,21
Idaho,2019,41,1813,10,7
Illinois,2019,41,70597,1153,177
Indiana,2019,41,5819,65,26
Iowa,2019,41,7225,57,19
Kansas,2019,41,13553,169,30
Kentucky,2019,41,10991,110,35
Louisiana,2019,41,53563,2356,98
Maine,2019,41,15995,143,55
Maryland,2019,41,50633,734,73
Massachusetts,2019,41,58916,599,73
Michigan,2019,41,24974,231,76
Minnesota,2019,41,7826,183,21
Mississippi,2019,41,17508,357,46
Missouri,2019,41,3382,12,16
Montana,2019,41,10127,81,40
Nebraska,2019,41,11357,211,67
Nevada,2019,41,11351,93,31
New Hampshire,2019,41,2150,4,13
New Jersey,2019,41,32017,653,41
New Meico,2019,41,23038,260,50
New York,2019,41,58360,587,135
North Carolina,2019,41,107584,1148,157
North Dakota,2019,41,3726,36,14
Ohio,2019,41,19434,130,49
Oklahoma,2019,41,9558,157,28
Oregon,2019,41,42862,453,96
Pennsylvania,2019,41,51174,521,123
Rhode Island,2019,41,6438,24,23
South Carolina,2019,41,10793,217,21
South Dakota,2019,41,17104,102,32
Tennessee,2019,41,41093,668,85
Teas,2019,41,29847,759,116
Utah,2019,41,20587,288,52
Vermont,2019,41,5012,33,16
Virginia,2019,41,101811,1793,161
Washington,2019,41,21356,258,53
West Virginia,2019,41,17442,172,54
Wisconsin,2019,41,26308,369,46
Wyoming,2019,41,4666,41,20
Commonwealth of the Northern Mariana Islands,2019,41,,,
Puerto Rico,2019,41,3924,284,7
Virgin Islands,2019,41,835,14,4
New York City,2019,41,96310,1443,74
Alabama,2019,42,42994,947,96
Alaska,2019,42,5264,80,18
Arizona,2019,42,11296,147,27
Arkansas,2019,42,4765,97,14
California,2019,42,55023,898,119
Colorado,2019,42,38353,979,70
Connecticut,2019,42,40803,732,80
Delaware,2019,42,1325,0,6
District of Columbia,2019,42,13977,224,5
Florida,2019,42,,,
Georgia,2019,42,77580,1946,94
Hawaii,2019,42,3420,77,21
Idaho,2019,42,2006,9,8
Illinois,2019,42,76835,1340,178
Indiana,2019,42,5154,44,25
Iowa,2019,42,7831,66,19
Kansas,2019,42,14172,182,30
Kentucky,2019,42,13433,190,37
Louisiana,2019,42,53189,2565,98
Maine,2019,42,15708,147,55
Maryland,2019,42,48320,649,74
Massachusetts,2019,42,59958,632,78
Michigan,2019,42,23956,227,75
Minnesota,2019,42,8095,179,21
Mississippi,2019,42,17821,369,46
Missouri,2019,42,3561,20,15
Montana,2019,42,10988,75,41
Nebraska,2019,42,12366,285,66
Nevada,2019,42,11144,136,31
New Hampshire,2019,42,2162,9,13
New Jersey,2019,42,31924,819,41
New Meico,2019,42,24089,338,52
New York,2019,42,56650,622,136
North Carolina,2019,42,102724,1232,161
North Dakota,2019,42,3861,49,15
Ohio,2019,42,19650,140,49
Oklahoma,2019,42,9490,187,28
Oregon,2019,42,43394,517,96
Pennsylvania,2019,42,49135,594,123
Rhode Island,2019,42,5366,16,22
South Carolina,2019,42,9506,223,21
South Dakota,2019,42,18290,127,32
Tennessee,2019,42,41564,705,90
Teas,2019,42,30084,768,119
Utah,2019,42,21522,372,52
Vermont,2019,42,5405,56,16
Virginia,2019,42,97269,1919,156
Washington,2019,42,21625,286,52
West Virginia,2019,42,17138,168,54
Wisconsin,2019,42,25626,380,47
Wyoming,2019,42,5187,53,21
Commonwealth of the Northern Mariana Islands,2019,42,,,
Puerto Rico,2019,42,4063,341,8
Virgin Islands,2019,42,797,9,3
New York City,2019,42,97156,1569,74
Alabama,2019,43,45349,1066,95
Alaska,2019,43,5044,72,18
Arizona,2019,43,12570,175,28
Arkansas,2019,43,4675,83,14
California,2019,43,56884,988,117
Colorado,2019,43,37909,1007,70
Connecticut,2019,43,41350,731,77
Delaware,2019,43,1337,1,6
District of Columbia,2019,43,14056,234,5
Florida,2019,43,,,
Georgia,2019,43,78001,2333,92
Hawaii,2019,43,3643,77,21
Idaho,2019,43,1666,13,6
Illinois,2019,43,87145,1658,190
Indiana,2019,43,4584,53,24
Iowa,2019,43,8048,81,20
Kansas,2019,43,14407,204,31
Kentucky,2019,43,14026,224,42
Louisiana,2019,43,53940,2971,101
Maine,2019,43,16115,149,55
Maryland,2019,43,50700,763,74
Massachusetts,2019,43,61731,611,77
Michigan,2019,43,27790,233,78
Minnesota,2019,43,7557,181,21
Mississippi,2019,43,18406,545,47
Missouri,2019,43,3621,26,15
Montana,2019,43,11045,84,41
Nebraska,2019,43,12160,259,66
Nevada,2019,43,11183,138,32
New Hampshire,2019,43,2288,15,13
New Jersey,2019,43,32534,756,41
New Meico,2019,43,23901,383,51
New York,2019,43,60214,626,138
North Carolina,2019,43,109122,1395,167
North Dakota,2019,43,3684,41,15
Ohio,2019,43,19811,192,51
Oklahoma,2019,43,9609,189,30
Oregon,2019,43,43142,527,97
Pennsylvania,2019,43,54064,747,129
Rhode Island,2019,43,6495,20,23
South Carolina,2019,43,10051,256,22
South Dakota,2019,43,17245,125,31
Tennessee,2019,43,41955,785,87
Teas,2019,43,30475,987,117
Utah,2019,43,21435,408,52
Vermont,2019,43,5162,45,16
Virginia,2019,43,101625,2123,162
Washington,2019,43,21386,222,54
West Virginia,2019,43,17289,215,54
Wisconsin,2019,43,23063,269,45
Wyoming,2019,43,5062,51,21
Commonwealth of the Northern Mariana Islands,2019,43,,,
Puerto Rico,2019,43,3734,189,8
Virgin Islands,2019,43,591,2,2
New York City,2019,43,99017,1798,72
Alabama,2019,44,45624,1209,97
Alaska,2019,44,4823,73,17
Arizona,2019,44,12988,182,27
Arkansas,2019,44,4809,117,14
California,2019,44,54405,1016,120
Colorado,2019,44,32899,919,70
Connecticut,2019,44,42012,762,85
Delaware,2019,44,1372,6,6
District of Columbia,2019,44,14020,246,5
Florida,2019,44,,,
Georgia,2019,44,75582,2516,91
Hawaii,2019,44,2745,74,19
Idaho,2019,44,1791,18,7
Illinois,2019,44,83553,1523,191
Indiana,2019,44,5400,75,25
Iowa,2019,44,7561,71,20
Kansas,2019,44,13114,201,31
Kentucky,2019,44,13284,257,43
Louisiana,2019,44,53242,3628,101
Maine,2019,44,15533,145,55
Maryland,2019,44,49939,825,72
Massachusetts,2019,44,60740,648,78
Michigan,2019,44,26143,259,78
Minnesota,2019,44,7348,177,20
Mississippi,2019,44,17731,465,47
Missouri,2019,44,3333,32,14
Montana,2019,44,10295,82,42
Nebraska,2019,44,11523,239,67
Nevada,2019,44,11460,189,32
New Hampshire,2019,44,2342,15,13
New Jersey,2019,44,30491,799,40
New Meico,2019,44,22545,366,50
New York,2019,44,57753,712,138
North Carolina,2019,44,109682,1409,169
North Dakota,2019,44,3548,45,15
Ohio,2019,44,18297,158,50
Oklahoma,2019,44,9406,228,28
Oregon,2019,44,41005,479,99
Pennsylvania,2019,44,53087,638,126
Rhode Island,2019,44,6434,21,23
South Carolina,2019,44,9430,236,22
South Dakota,2019,44,16231,127,31
Tennessee,2019,44,41117,881,87
Teas,2019,44,30361,1124,121
Utah,2019,44,18957,337,52
Vermont,2019,44,5445,52,16
Virginia,2019,44,99470,2085,159
Washington,2019,44,20632,263,54
West Virginia,2019,44,16354,201,53
Wisconsin,2019,44,24973,374,44
Wyoming,2019,44,4760,55,21
Commonwealth of the Northern Mariana Islands,2019,44,,,
Puerto Rico,2019,44,3716,213,8
Virgin Islands,2019,44,735,8,3
New York City,2019,44,98032,1965,71
Alabama,2019,45,47714,1603,98
Alaska,2019,45,4784,115,18
Arizona,2019,45,14533,376,30
Arkansas,2019,45,5122,134,15
California,2019,45,57340,1258,124
Colorado,2019,45,36594,982,70
Connecticut,2019,45,40112,811,77
Delaware,2019,45,1287,2,6
District of Columbia,2019,45,14645,275,5
Florida,2019,45,,,
Georgia,2019,45,80047,3105,93
Hawaii,2019,45,3640,62,20
Idaho,2019,45,1543,12,7
Illinois,2019,45,84837,1579,190
Indiana,2019,45,5690,82,26
Iowa,2019,45,7693,83,20
Kansas,2019,45,14460,215,32
Kentucky,2019,45,13580,283,43
Louisiana,2019,45,55905,4858,104
Maine,2019,45,15309,143,55
Maryland,2019,45,49188,913,72
Massachusetts,2019,45,61668,754,78
Michigan,2019,45,25829,258,81
Minnesota,2019,45,7816,178,20
Mississippi,2019,45,19001,774,46
Missouri,2019,45,3766,30,15
Montana,2019,45,10956,102,41
Nebraska,2019,45,11587,274,65
Nevada,2019,45,12398,293,32
New Hampshire,2019,45,2194,21,13
New Jersey,2019,45,31192,869,41
New Meico,2019,45,24535,495,51
New York,2019,45,56473,734,137
North Carolina,2019,45,104493,1548,169
North Dakota,2019,45,3409,50,12
Ohio,2019,45,20410,196,51
Oklahoma,2019,45,9884,266,30
Oregon,2019,45,40791,514,97
Pennsylvania,2019,45,51772,736,130
Rhode Island,2019,45,6551,15,23
South Carolina,2019,45,10151,339,22
South Dakota,2019,45,16900,136,31
Tennessee,2019,45,41991,1093,88
Teas,2019,45,31701,1501,116
Utah,2019,45,20094,451,51
Vermont,2019,45,5575,66,16
Virginia,2019,45,99588,2196,162
Washington,2019,45,17730,245,54
West Virginia,2019,45,18104,257,54
Wisconsin,2019,45,25099,428,46
Wyoming,2019,45,5050,53,21
Commonwealth of the Northern Mariana Islands,2019,45,,,
Puerto Rico,2019,45,5425,282,11
Virgin Islands,2019,45,652,8,2
New York City,2019,45,99298,2302,74
Alabama,2019,46,47170,1724,97
Alaska,2019,46,4123,115,17
Arizona,2019,46,14127,405,30
Arkansas,2019,46,5104,190,15
California,2019,46,60644,1481,125
Colorado,2019,46,37274,1112,70
Connecticut,2019,46,40595,824,77
Delaware,2019,46,1257,1,6
District of Columbia,2019,46,13231,238,5
Florida,2019,46,,,
Georgia,2019,46,77983,3500,92
Hawaii,2019,46,3192,72,19
Idaho,2019,46,1703,6,8
Illinois,2019,46,82080,1649,190
Indiana,2019,46,5600,101,26
Iowa,2019,46,7218,80,20
Kansas,2019,46,13948,248,32
Kentucky,2019,46,13141,330,43
Louisiana,2019,46,56348,5683,102
Maine,2019,46,14597,162,55
Maryland,2019,46,49128,1064,73
Massachusetts,2019,46,59278,868,76
Michigan,2019,46,27242,285,83
Minnesota,2019,46,7844,191,21
Mississippi,2019,46,17841,897,46
Missouri,2019,46,3503,55,14
Montana,2019,46,9134,104,40
Nebraska,2019,46,11941,321,66
Nevada,2019,46,12342,412,33
New Hampshire,2019,46,2149,9,13
New Jersey,2019,46,31263,993,41
New Meico,2019,46,24203,612,50
New York,2019,46,55616,763,136
North Carolina,2019,46,100255,1566,168
North Dakota,2019,46,3893,75,16
Ohio,2019,46,19414,181,52
Oklahoma,2019,46,9320,274,28
Oregon,2019,46,41531,439,95
Pennsylvania,2019,46,49651,734,125
Rhode Island,2019,46,6527,30,23
South Carolina,2019,46,8892,351,22
South Dakota,2019,46,13267,156,31
Tennessee,2019,46,41890,1240,89
Teas,2019,46,30398,1456,111
Utah,2019,46,17195,390,50
Vermont,2019,46,4793,54,16
Virginia,2019,46,100650,2576,160
Washington,2019,46,17361,310,54
West Virginia,2019,46,16391,220,51
Wisconsin,2019,46,21383,300,43
Wyoming,2019,46,4709,54,21
Commonwealth of the Northern Mariana Islands,2019,46,,,
Puerto Rico,2019,46,4229,311,9
Virgin Islands,2019,46,687,6,2
New York City,2019,46,97510,2318,69
Alabama,2019,47,50024,2332,94
Alaska,2019,47,4821,97,17
Arizona,2019,47,14283,388,30
Arkansas,2019,47,5849,183,16
California,2019,47,64120,1536,122
Colorado,2019,47,37653,1216,70
Connecticut,2019,47,41753,1024,80
Delaware,2019,47,1399,2,6
District of Columbia,2019,47,15077,324,5
Florida,2019,47,,,
Georgia,2019,47,69409,3623,94
Hawaii,2019,47,3647,100,21
Idaho,2019,47,1494,18,7
Illinois,2019,47,84335,1784,188
Indiana,2019,47,5436,77,26
Iowa,2019,47,7404,68,19
Kansas,2019,47,14397,205,31
Kentucky,2019,47,13133,364,39
Louisiana,2019,47,59575,6964,100
Maine,2019,47,14932,183,55
Maryland,2019,47,51124,1121,72
Massachusetts,2019,47,61152,879,76
Michigan,2019,47,24599,304,82
Minnesota,2019,47,7665,209,20
Mississippi,2019,47,18984,1151,47
Missouri,2019,47,3575,44,15
Montana,2019,47,11571,137,42
Nebraska,2019,47,13369,467,67
Nevada,2019,47,12826,385,33
New Hampshire,2019,47,2283,14,13
New Jersey,2019,47,32283,947,41
New Meico,2019,47,25534,799,51
New York,2019,47,57117,826,135
North Carolina,2019,47,104392,1751,167
North Dakota,2019,47,3637,69,13
Ohio,2019,47,20977,222,50
Oklahoma,2019,47,9968,296,27
Oregon,2019,47,43405,798,96
Pennsylvania,2019,47,53174,903,130
Rhode Island,2019,47,6675,33,23
South Carolina,2019,47,10408,414,21
South Dakota,2019,47,11505,190,32
Tennessee,2019,47,43067,1649,83
Teas,2019,47,32525,2114,114
Utah,2019,47,19800,496,50
Vermont,2019,47,4930,43,16
Virginia,2019,47,104124,3005,160
Washington,2019,47,22304,602,54
West Virginia,2019,47,16725,208,50
Wisconsin,2019,47,25814,406,47
Wyoming,2019,47,5146,61,21
Commonwealth of the Northern Mariana Islands,2019,47,,,
Puerto Rico,2019,47,4855,321,10
Virgin Islands,2019,47,650,5,2
New York City,2019,47,102881,2602,73
Alabama,2019,48,43538,2048,98
Alaska,2019,48,4585,103,18
Arizona,2019,48,9646,276,29
Arkansas,2019,48,2761,101,13
California,2019,48,43929,1205,122
Colorado,2019,48,26235,912,65
Connecticut,2019,48,38745,1015,78
Delaware,2019,48,977,6,7
District of Columbia,2019,48,10594,279,5
Florida,2019,48,,,
Georgia,2019,48,75437,4304,97
Hawaii,2019,48,2302,84,19
Idaho,2019,48,1021,12,8
Illinois,2019,48,77655,1984,190
Indiana,2019,48,2989,64,26
Iowa,2019,48,4031,61,19
Kansas,2019,48,12150,221,32
Kentucky,2019,48,11286,344,44
Louisiana,2019,48,53791,5771,101
Maine,2019,48,13168,157,55
Maryland,2019,48,46021,1300,73
Massachusetts,2019,48,50212,961,76
Michigan,2019,48,22558,273,83
Minnesota,2019,48,5247,213,20
Mississippi,2019,48,17129,1251,44
Missouri,2019,48,1150,8,14
Montana,2019,48,9102,130,42
Nebraska,2019,48,11934,619,65
Nevada,2019,48,10769,391,33
New Hampshire,2019,48,1475,10,14
